Species,Longitude,Latitude
Tacinga_inamoena,-42.916667,-16.533333
Tacinga_inamoena,-37.1337,-9.120033
Cereus_jamacaru,-37.1337,-9.120033
Pilosocereus_pachycladus,-37.1337,-9.120033
Tacinga_palmadora,-36.092944,-8.587083
Pilosocereus_pernambucoensis,-35.922222,-8.238333
Melocactus_bahiensis,-38.228333,-9.088056
Tacinga_inamoena,-38.228333,-9.088056
Pilosocereus_pachycladus,-38.16975,-8.267889
Tacinga_inamoena,-34.950278,-8.012778
Tacinga_inamoena,-38.206111,-8.289639
Melocactus_zehntneri,-36.388667,-8.2075
Tacinga_palmadora,-36.879167,-8.575
Melocactus_ernestii,-36.197633,-8.234583
Rhipsalis_floccosa,-35.7638,-8.161217
Tacinga_palmadora,-36.197633,-8.234583
Melocactus_ernestii,-36.779367,-8.44775
Melocactus_bahiensis,-36.879167,-8.575
